"","popsize","p_crude","p_sensp","p_sensp_ci","p_mix1","p_mix1_ci","p_mix2","p_mix2_ci"
"Central","225","6.2","6.1","2.8 - 10.1","9.9","4.9 - 17.2","10.3","5.1 - 18.4"
"Coast","435","15.4","15.9","12.2 - 20","31.3","23.7 - 40.3","31.6","24.4 - 40.3"
"Eastern/N.Eastern","702","6","5.5","3.5 - 7.6","12.2","7.5 - 19","12.9","8 - 21.7"
"Mombasa","802","16.7","17.2","14.3 - 20.3","22.6","19.3 - 26.1","23.6","20.2 - 27.3"
"Nairobi","361","23.5","24.8","20.1 - 29.8","35.7","28.9 - 42.9","36.5","30.1 - 43.4"
"Nyanza","584","9.4","9.3","6.7 - 12.1","17.6","11.4 - 26.8","18","11.8 - 28.1"
"Rift Valley","508","8.1","7.8","5.2 - 10.7","8","5.4 - 11.3","8.2","5.4 - 11.9"
"Western","106","5.7","6","1.8 - 11.7","7.3","2.4 - 15.1","8.1","2.9 - 16.2"
"ANC Kilifi Oct","264","1.1","0.9","0 - 2.8","5.9","1.7 - 12.9","4.4","1.4 - 9"
"ANC Kilifi Dec","155","10.3","10.7","5.9 - 16.5","16.3","9.2 - 25.4","17","9.6 - 26.7"
"ANC Nairobi","196","46.4","49.8","42 - 57.8","75.5","63.8 - 87.4","77.4","66.2 - 88.9"
"HCW Busia","301","12.3","12.6","8.6 - 17.1","12.4","8 - 18","12.9","8.1 - 19.2"
"HCW Kilifi","200","11.5","12.2","7.7 - 17.6","13.5","8.4 - 19.9","14.6","9.2 - 21.1"
"HCW Nairobi","183","41","43.9","36 - 52","74.6","59.7 - 92.3","74.4","59.8 - 90.4"
"TRUCKERS Busia","365","44.7","48","42.1 - 54","46.9","29.9 - 74.2","35.6","26.7 - 45.3"
"TRUCKERS Magarini","101","42.6","45.6","35.1 - 56.3","50.9","20.3 - 91.3","42.1","17.2 - 80.5"
"TRUCKERS Malaba","364","33.8","35.9","30.6 - 41.8","42.2","23.3 - 71.4","34.8","20.4 - 66.1"
